Date,"LT COMPOSITE (>10 Yrs)","TREASURY 20-Yr CMT"
06/12/2024,4.53,4.56
06/11/2024,4.59,4.62
06/10/2024,4.66,4.68
06/07/2024,4.61,4.64
06/06/2024,4.48,4.51
06/05/2024,4.50,4.52
06/04/2024,4.54,4.56
06/03/2024,4.61,4.63
05/31/2024,4.71,4.73
05/30/2024,4.75,4.76
05/29/2024,4.80,4.82
05/28/2024,4.73,4.74
05/24/2024,4.64,4.65
05/23/2024,4.65,4.67
05/22/2024,4.61,4.63
05/21/2024,4.62,4.65
05/20/2024,4.64,4.68
05/17/2024,4.62,4.66
05/16/2024,4.58,4.62
05/15/2024,4.57,4.61
05/14/2024,4.66,4.69
05/13/2024,4.69,4.72
05/10/2024,4.71,4.74
05/09/2024,4.67,4.70
05/08/2024,4.70,4.73
05/07/2024,4.67,4.70
05/06/2024,4.70,4.73
05/03/2024,4.72,4.75
05/02/2024,4.79,4.82
05/01/2024,4.81,4.85
04/30/2024,4.87,4.90
04/29/2024,4.82,4.86
04/26/2024,4.86,4.89
04/25/2024,4.90,4.93
04/24/2024,4.86,4.88
04/23/2024,4.81,4.84
04/22/2024,4.81,4.84
04/19/2024,4.80,4.83
04/18/2024,4.83,4.85
04/17/2024,4.79,4.81
04/16/2024,4.85,4.88
04/15/2024,4.82,4.85
04/12/2024,4.70,4.73
04/11/2024,4.74,4.77
04/10/2024,4.72,4.76
04/09/2024,4.56,4.60
04/08/2024,4.62,4.65
04/05/2024,4.61,4.65
04/04/2024,4.54,4.57
04/03/2024,4.58,4.61
04/02/2024,4.58,4.61
04/01/2024,4.54,4.58
03/28/2024,4.42,4.45
03/27/2024,4.43,4.45
03/26/2024,4.47,4.49
03/25/2024,4.49,4.51
03/22/2024,4.46,4.47
03/21/2024,4.52,4.53
03/20/2024,4.52,4.53
03/19/2024,4.52,4.54
03/18/2024,4.55,4.57
03/15/2024,4.53,4.55
03/14/2024,4.52,4.54
03/13/2024,4.43,4.45
03/12/2024,4.40,4.42
03/11/2024,4.34,4.36
03/08/2024,4.34,4.36
03/07/2024,4.33,4.35
03/06/2024,4.33,4.36
03/05/2024,4.37,4.39
03/04/2024,4.46,4.48
03/01/2024,4.43,4.46
02/29/2024,4.48,4.51
02/28/2024,4.51,4.53
02/27/2024,4.55,4.57
02/26/2024,4.51,4.53
02/23/2024,4.49,4.51
02/22/2024,4.57,4.58
02/21/2024,4.59,4.59
02/20/2024,4.54,4.56
02/16/2024,4.55,4.58
02/15/2024,4.51,4.54
02/14/2024,4.54,4.57
02/13/2024,4.57,4.59
02/12/2024,4.46,4.48
02/09/2024,4.46,4.48
02/08/2024,4.45,4.47
02/07/2024,4.39,4.41
02/06/2024,4.37,4.39
02/05/2024,4.44,4.46
02/02/2024,4.31,4.33
02/01/2024,4.18,4.21
01/31/2024,4.30,4.34
01/30/2024,4.37,4.40
01/29/2024,4.39,4.42
01/26/2024,4.47,4.49
01/25/2024,4.47,4.49
01/24/2024,4.50,4.52
01/23/2024,4.46,4.48
01/22/2024,4.41,4.44
01/19/2024,4.45,4.47
01/18/2024,4.46,4.48
01/17/2024,4.40,4.42
01/16/2024,4.40,4.43
01/12/2024,4.28,4.32
01/11/2024,4.28,4.32
01/10/2024,4.31,4.35
01/09/2024,4.29,4.33
01/08/2024,4.28,4.33
01/05/2024,4.32,4.37
01/04/2024,4.25,4.30
01/03/2024,4.16,4.21
01/02/2024,4.20,4.25
